run_accession	group	module	pathways_defined	pathways_present	relative_score	log_ratio_score
DRR764599	S	scfa_lactate_succinate	4	4	0.00504677255435	-5.28394659049
DRR764600	S	scfa_lactate_succinate	4	4	0.00984506620134	-4.61089089268
DRR764581	M	tryptophan_indole	2	2	0.0155129529819	-4.15044532644
DRR764582	M	tryptophan_indole	2	2	0.0134992249906	-4.29153176232
DRR764583	M	tryptophan_indole	2	2	0.0125977585231	-4.3615585144
DRR764584	M	tryptophan_indole	2	2	0.0166275848731	-4.0799247894
DRR764585	M	tryptophan_indole	2	2	0.0139231167252	-4.26018372316
DRR764586	M	tryptophan_indole	2	2	0.0130438712878	-4.32630712333
DRR764587	M	tryptophan_indole	2	2	0.0208525645204	-3.84920524303
DRR764588	M	tryptophan_indole	2	2	0.0195175437654	-3.91673096121
DRR764589	M	tryptophan_indole	2	2	0.0109799917702	-4.50063978557
DRR764590	S	tryptophan_indole	2	2	0.0168531527422	-4.06622069184
DRR764591	S	tryptophan_indole	2	2	0.0120070167022	-4.41018430944
DRR764592	S	tryptophan_indole	2	2	0.0151151588658	-4.17682651799
DRR764593	S	tryptophan_indole	2	2	0.0162949872766	-4.10046847646
DRR764594	S	tryptophan_indole	2	2	0.0122565030811	-4.38936630507
DRR764595	S	tryptophan_indole	2	2	0.00985132197456	-4.61024935438
DRR764596	S	tryptophan_indole	2	2	0.0127964720519	-4.34570663771
DRR764597	S	tryptophan_indole	2	2	0.0107055411591	-4.52623045607
DRR764598	S	tryptophan_indole	2	2	0.0112406864645	-4.47691093464
DRR764599	S	tryptophan_indole	2	2	0.0147332572723	-4.20280500457
DRR764600	S	tryptophan_indole	2	2	0.0149652296277	-4.18694738911
