cohort	membership	module	pathway_id	pathway_name	expected_direction_with_severity	present_in_input	feature
QinN_2014	conservative	overall_fermentation	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	
QinN_2014	conservative	overall_fermentation	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	PWY-5100: pyruvate fermentation to acetate and lactate II
QinN_2014	conservative	overall_fermentation	CENTFERM-PWY	pyruvate fermentation to butanoate	decrease	True	CENTFERM-PWY: pyruvate fermentation to butanoate
QinN_2014	conservative	overall_fermentation	PWY-5676	acetyl-CoA fermentation to butanoate II	decrease	True	PWY-5676: acetyl-CoA fermentation to butanoate II
QinN_2014	conservative	overall_fermentation	PWY-5677	succinate fermentation to butanoate	decrease	True	PWY-5677: succinate fermentation to butanoate
QinN_2014	conservative	overall_fermentation	P163-PWY	L-lysine fermentation to acetate and butanoate	decrease	True	P163-PWY: L-lysine fermentation to acetate and butanoate
QinN_2014	expanded	bile_acids	PWY-6518	bile acids epimerization	unspecified	False	
QinN_2014	expanded	lps_lipidA	KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	unspecified	True	KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis
QinN_2014	expanded	lps_lipidA	LIPA-CORESYN-PWY	lipid A-core biosynthesis (E. coli K-12)	unspecified	False	
QinN_2014	expanded	lps_lipidA	LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	unspecified	True	LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis
QinN_2014	expanded	lps_lipidA	ECASYN-PWY	enterobacterial common antigen biosynthesis	unspecified	True	ECASYN-PWY: enterobacterial common antigen biosynthesis
QinN_2014	expanded	scfa_acetate	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	
QinN_2014	expanded	scfa_acetate	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	PWY-5100: pyruvate fermentation to acetate and lactate II
QinN_2014	expanded	scfa_acetate	P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	decrease	True	P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate
QinN_2014	expanded	scfa_acetate	PWY-8086	(S)-lactate fermentation to propanoate, acetate and hydrogen	decrease	False	
QinN_2014	expanded	scfa_butyrate	CENTFERM-PWY	pyruvate fermentation to butanoate	decrease	True	CENTFERM-PWY: pyruvate fermentation to butanoate
QinN_2014	expanded	scfa_butyrate	PWY-5676	acetyl-CoA fermentation to butanoate II	decrease	True	PWY-5676: acetyl-CoA fermentation to butanoate II
QinN_2014	expanded	scfa_butyrate	PWY-5677	succinate fermentation to butanoate	decrease	True	PWY-5677: succinate fermentation to butanoate
QinN_2014	expanded	scfa_butyrate	P163-PWY	L-lysine fermentation to acetate and butanoate	decrease	True	P163-PWY: L-lysine fermentation to acetate and butanoate
QinN_2014	expanded	scfa_lactate_succinate	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	
QinN_2014	expanded	scfa_lactate_succinate	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	PWY-5100: pyruvate fermentation to acetate and lactate II
QinN_2014	expanded	scfa_lactate_succinate	P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	decrease	True	P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate
QinN_2014	expanded	scfa_lactate_succinate	PWY-8086	(S)-lactate fermentation to propanoate, acetate and hydrogen	decrease	False	
QinN_2014	expanded	tryptophan_indole	PWY-6629	superpathway of L-tryptophan biosynthesis	unspecified	True	PWY-6629: superpathway of L-tryptophan biosynthesis
QinN_2014	expanded	tryptophan_indole	TRPSYN-PWY	L-tryptophan biosynthesis	unspecified	True	TRPSYN-PWY: L-tryptophan biosynthesis
QinN_2014	expanded	overall_fermentation	P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	decrease	False	
QinN_2014	expanded	overall_fermentation	PWY-5100	pyruvate fermentation to acetate and lactate II	decrease	True	PWY-5100: pyruvate fermentation to acetate and lactate II
QinN_2014	expanded	overall_fermentation	P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	decrease	True	P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate
QinN_2014	expanded	overall_fermentation	PWY-8086	(S)-lactate fermentation to propanoate, acetate and hydrogen	decrease	False	
QinN_2014	expanded	overall_fermentation	CENTFERM-PWY	pyruvate fermentation to butanoate	decrease	True	CENTFERM-PWY: pyruvate fermentation to butanoate
QinN_2014	expanded	overall_fermentation	PWY-5676	acetyl-CoA fermentation to butanoate II	decrease	True	PWY-5676: acetyl-CoA fermentation to butanoate II
QinN_2014	expanded	overall_fermentation	PWY-5677	succinate fermentation to butanoate	decrease	True	PWY-5677: succinate fermentation to butanoate
QinN_2014	expanded	overall_fermentation	P163-PWY	L-lysine fermentation to acetate and butanoate	decrease	True	P163-PWY: L-lysine fermentation to acetate and butanoate
